ClubID,Club Name,Description,Training_Dates,Training Locations,Club_Category
1,Basketball Club,"A club for people who enjoy playing basketball. We offer training sessions for all levels of players, from beginners to experienced players.",Every Monday and Wednesday from 7pm to 9pm,Our training facility is located at SIT Dover Basketball Court,Sports
2,Soccer Club,"A club for people who enjoy playing soccer. We offer training sessions for all levels of players, from beginners to experienced players.",Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover Field,Sports
3,Tennis Club,"A club for people who enjoy playing tennis. We offer training sessions for all levels of players, from beginners to experienced players.",Every Friday from 9am to 11am,Our training facility is located at SIT Dover Tennis Court,Sports
4,Swimming Club,"A club for people who enjoy swimming. We offer training sessions for all levels of swimmers, from beginners to experienced swimmers.",Every Saturday from 10am to 12pm,Our training facility is located at SIT Dover Swimming Pool,Sports
5,Running Club,"A club for people who enjoy running. We offer training sessions for all levels of runners, from beginners to experienced runners.",Every Sunday from 8am to 10am,Our training facility is located at different stadium tracks,Sports
6,Adventure Club,"Where we promote Daring Adventures, Real Experience (DARE). On our last few academic milestones, we believe not only in studying hard but also playing hard. We believe in making friends and having fun along the way while creating a memorable and fruitful journey in SIT.In Adventure Club, we hold outdoor events, e.g. amazing race, abseiling, cycling, island exploration, kayaking, hiking, and so much more! As we prioritize fun and safety above all else. Activities are also tailored to be as inclusive as possible for all SITizen regardless of fitness level.To add the cherry on top, we understand that coping with studies can be a challenge, especially in terms of time management. And for that, we would like to assure you not to worry! Although we encourage SITizens to participate in as many events as possible to strengthen the bond as a DARE family, participation will be on an event basis only.",Every Wednesday and Saturdays,Location varies from the different activities planned,Sports
7,Archery Club,"SIT Archery is a competitive varsity team. SIT Archery provides a platform for students to pick up archery as a sport, as well as for experienced archers to train hard and represent SIT in competitions in various tournaments in Singapore such as the Archery Indoor Season at NUS, outdoor field Archery at NTU, as well as Pesta Sukan. With a relatively short history compared to other institutions, our club aims to bring SIT’s name into the spotlight of the Archery community. If you are looking for a challenging yet, exciting journey, this is definitely your calling. We have our weekly training at the Salt and Light Archery range, located at West Coast. New archers will need to go through a basic archery course, with guidance from coach and seniors. Equipment will be provided too. Archery requires both physical strength and endurance, and most importantly, mental resilience, focus and patience. If you are up for the challenge and want to push yourself to greater heights",Every Saturday from 10am to 12pm,Our training facility is located at SIT Dover,Sports
8,Badminton Club,"We are one of the more popular sports clubs within the school. The goal is to help students to develop comprehensive skill sets while nurturing the individual’s interest in the club beyond the academic curriculum. SIT Badminton firmly believes in the promotion of social, cultural, and holistic responsibilities in the community where students can find pride and a strong sense of belonging. The SIT Badminton Team conducts training regularly every Thursday, in the SIT@Dover campus, and is regulated by the Coach alongside the Team's Captains.  For the recreational club, courts are open for them to play and interact with students from different courses. This promotes a friendly and socially connecting environment, where members are able to propose bonding activity ideas, creating more interactions between the students. This will help foster the Badminton community within SIT. Furthermore, we also hold events such as the Shuttlers’ Open that allows anyone in the student body to showcase their skills in the name of healthy competition.",Every Thursday from 10am to 12pm,Our training facility is located at SIT Dover,Sports
9,Bowling Club,"We are a group of bowlers who share a common passion for the sport, enjoy bonding and learning together as a club/team. If you have no prior experience in Bowling, rest assured that our friendly members and coach will be around to guide you. So, if you are keen to try something new, keep fit in an air-conditioned environment, we are definitely the club for you! Training together is a fun and enriching experience, and we guarantee that you will learn something new. As a competitive team, we strive (and strike) for the best! We are actively training in preparation for the main competitions: Singapore University Games (SUniG) and Institute-Varsity-Polytechnic Games (IVP). In recent years, our team has seen significant improvement in our performance among the universities. In SUniG 2019, our Women’s Team dominated the competition and took home the championship - SIT’s first at the games. We believe in giving every team member an opportunity to sharpen their technical skills and teamwork on the lanes.",Every Thursday from 10am to 12pm,Our training facility is located at SIT Dover,Sports
10,Calisthenics Club,"It means beauty and 'Sthenos' meaning Strength. The earliest recorded practice of this art was during the time of Ancient Greece, employed as part of the training by the armies of 'Alexander the great' and even the 'Spartans'. Calisthenics is a form of exercise consisting of movements that work on a wide variety of muscle groups. These exercises are often performed rhythmically using bodyweight with minimal or even no equipment. They are intended to increase strength, fitness, and flexibility, through movements such as pulling, pushing, bending, jumping, or swinging. It can also provide the benefits of muscular and aerobic conditioning, in addition to improving psychomotor skills such as balance, agility, and coordination. ",Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover,Sports
11,Canoe Club,"Welcome to the exhilarating world of SIT Canoe Sprint, where speed meets skill on shimmering waters at MacRitchie Reservoir! Discover the adrenaline rush of racing fused with the serenity of paddling through nature. Master the art of paddling, pushing your limits for lightning-fast speeds. Technique, finesse, and strategy are key to outpace competitors.Whether you seek solo challenge in a kayak/canoe or camaraderie in a team event, Canoe Sprint offers diverse events and distances. From heart-pounding sprints to grueling endurance races, each stroke shapes a stronger, confident you.",Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover,Sports
12,Cue Sports Club,"Hello and welcome to SIT Cue Sports! We represent SIT in annual competitions such as the SUniG 9-ball pool and many other divisional and team tournaments. If you are looking to join a sport that challenges the mind, then you have come to the right place! Prior experience with billiards is not required. We welcome all students to join us and be part of our Cue Sports family!",Every Friday from 7.30pm to 9.30pm,Our training facility is located at Asoure Recreation Centre @HabourFront Centre,Sports
13,Dragon Boat Club,"Join SIT Dragon Boat for an exciting water sports challenge during your university journey! Experience the camaraderie and dedication of a passionate team as we compete in various Dragon Boat competitions in Singapore, including the prestigious Prime Minister's Cup among Singapore Universities. If you love training hard and giving your best, this is the team for you.",Every Friday from 7.30pm to 9.30pm,Our training facility is located at Marichie Reserviour,Sports
14,Floorball Club,"At SIT Floorball, we forge bonds while playing floorball together and represent SIT in the annual Singapore University Games (SUniG) and Institute-Varsity-Polytechnic (IVP) Games. Whether you are here to try out something new or an experienced floorball player, join us and we shall face the opponents together.  ",Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover,Sports
15,Football Club,"The team has seen improvements each year and came exceptionally close to qualifying for the IVP games last year. This year, we aim to push ourselves further to achieve our goals through hard work, perseverance, and commitment. We believe in nurturing all individuals to reach their full potential through a supportive and encouraging team climate. As individuals, we share a common passion for football and are dedicated to developing ourselves on and off the field.",Every Thursday from 10am to 12pm,Our training facility is located at SIT Dover Field,Sports
16,Futsal Club,We welcome new talents with open arms. This will be a great platform for students who are filled with passion for soccer to unleash their potential skills at any level and showcase them. We motivate and coach one another on the strengths and weaknesses and build cohesive bonds to create a zestful atmosphere that drives students to join us and participate. There are no sign-ups fees involved and we get to meet new people during every training session.,Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover,Sports
17,Gold Club,"which enables all matriculated students (with/without prior golf experience) to learn more about the intricacies of the sport and to learn or fine-tune golf techniques to become better golfers. SIT Golf Club offers a platform for students who long to learn and play golf in a professional setting. One of our club’s main objectives is to cater Golf as a sport for the masses, and to illustrate to SIT students that it is a sport that is easy to take up.",Every Wednesday and Thursday from 6pm to 8pm,Our training facility is located at Orchid Country Club,Sports
18,Handball Club,"Handball is a fast-paced and dynamic team sport where 2 teams of 7 players (6 outfield players and 1 goalkeeper) compete against each other on a 40m by 20m court. With two halves of 30 minutes each, attackers are required to break the opponents’ defense and score from a minimum of six metres away from the goal post. As such, fascinating plays, exciting fast breaks, and powerful shots can be expected in a typical handball match. ",Every Tuesday and Thursday from 6pm to 8pm,Our training facility is located at SIT Dover,Sports
19,Hockey Club,"Encompassing dexterity, skill and alacrity, field hockey is an exciting and enjoyable sport that you can look forward to with your friends! We are a team that welcomes everyone, regardless of your prior experience :)",Every Wednesday from 6pm to 8pm,Our training facility is located at SIT Dover Futsal Court,Sports
